Point;census2018
УКРАЇНА;42386403
 Міське населення;29370995
 Сільське населення;13015408
Вінницька область;1575808
 Міське населення;806331
 Сільське населення;769477
  м. Вінниця;371855
  м. Жмеринка;34537
  Козятин (міськрада);24588
  Ладижин (міськрада);23904
  Могилів-Подільський (міськрада);31166
  м. Хмільник;27941
  Барський район;51444
  Бершадський район;58449
  Вінницький район;80556
  Гайсинський район;56206
  Жмеринський район;33781
  Іллінецький район;36874
  Калинівський район;57409
  Козятинський район;38975
  Крижопільський район;32976
  Липовецький район;37272
  Літинський район;34905
  Могилів-Подільський район;32647
  Мурованокуриловецький район;24919
  Немирівський район;48347
  Оратівський район;20793
  Піщанський район;20678
  Погребищенський район;29397
  Теплицький район;27818
  Тиврівський район;41819
  Томашпільський район;32933
  Тростянецький (Вінницька) район;35200
  Тульчинський район;54727
  Хмільницький район;35864
  Чернівецький район;20999
  Чечельницький район;20840
  Шаргородський район;56661
  Ямпільський район;39328
Волинська область;1038457
 Міське населення;542680
 Сільське населення;495777
  м. Луцьк;216505
  м. Володимир-Волинський;38901
  м. Ковель;69089
  Нововолинськ (міськрада);56902
  Володимир-Волинський район;25175
  Горохівський район;51320
  Іваничівський район;31781
  Камінь-Каширський район;64248
  Ківерцівський район;63927
  Ковельський район;40337
  Локачинський район;22078
  Луцький район;64746
  Любешівський район;35824
  Любомльський район;39107
  Маневицький район;54261
  Ратнівський район;52193
  Рожищенський район;39095
  Старовижівський район;30165
  Турійський район;26039
  Шацький район;16764
Дніпропетровська область;3231140
 Міське населення;2706984
 Сільське населення;524156
  Дніпро (міськрада) ;1002944
  м. Вільногірськ;23235
  Кам'янське  (міськрада) ;241990
  Жовті Води (міськрада);45518
  Кривий Ріг (міськрада);632422
  Марганець (міськрада);48139
  м. Нікополь;112102
  м. Новомосковськ;70749
 Покров (міськрада);41195
  м. Павлоград;106184
  м. Першотравенськ;28363
  м. Синельникове;30724
  Тернівка (міськрада);28315
  Апостолівський район;54324
  Васильківський (Дніпропетровська) район;31920
  Верхньодніпровський район;52858
  Дніпровський район;84033
  Криворізький район;45089
  Криничанський район;34976
  Магдалинівський район;33622
  Межівський район;23255
  Нікопольський район;40055
  Новомосковський район;73224
  Павлоградський район;27252
  Петриківський район;25110
  Петропавлівський район;25921
  Покровський (Дніпропетровська) район;34220
  П'ятихатський район;44575
  Синельниківський район;37640
  Солонянський район;38344
  Софіївський район;21539
  Томаківський район;24658
  Царичанський район;26763
  Широківський район;26880
  Юр'ївський район;13002
Донецька область;4200461
 Міське населення;3813272
 Сільське населення;387189
  Донецьк (міськрада);934737
  м. Авдіївка;33311
  Бахмут (міськрада) ;75500
  м. Вугледар;15025
  Горлівка (міськрада);262401
  м. Дебальцеве;24758
  Торецьк (міськрада) ;69371
 Мирноград (міськрада) ;49439
  Добропілля (міськрада);60622
  Докучаєвськ (міськрада);23960
  Дружківка (міськрада);66971
  Єнакієве (міськрада);106339
  Жданівка (міськрада);12916
  м. Хрестівка ;27701
  м. Костянтинівка;71853
  Краматорськ (міськрада);188456
 Покровськ (міськрада) ;74951
  Макіївка (міськрада);382310
  Маріуполь (міськрада);465735
  м. Новогродівка;14758
  Селидове (міськрада);51280
  Слов'янськ (міськрада);115919
  Сніжне (міськрада);68410
  Торез (міськрада);77606
  Харцизьк (міськрада);101005
  Шахтарськ (міськрада);58661
  м. Ясинувата;34789
  Амвросіївський район;44112
  Бахмутський район ;107309
  Великоновосілківський район;38338
  Волноваський район;98214
  Добропільський район;15418
  Костянтинівський район;17760
  Покровський (Донецька) район ;30354
  Мар'їнський район;80812
  Новоазовський район;27425
  Олександрівський (Донецька) район;18283
  Слов'янський район;47260
  Старобешівський район;49648
  Бойківський район ;14066
  Шахтарський район;19019
  Мангушський район;26177
  Нікольський район;28188
  Ясинуватський район;26423
Житомирська область;1231239
 Міське населення;726682
 Сільське населення;504557
  м. Житомир;266936
  м. Бердичів;76229
  м. Коростень;63525
  м. Малин;26204
  м. Новоград-Волинський;56288
  Андрушівський район;32930
  Баранівський район;39572
  Бердичівський район;28216
  Брусилівський район;14943
  Хорошівський район;34553
  Ємільчинський район;32629
  Житомирський район;71532
  Коростенський район;26183
  Коростишівський район;40233
  Лугинський район;16321
  Любарський район;26687
  Малинський район;18562
  Народицький район;9501
  Новоград-Волинський район;45113
  Овруцький район;55608
  Олевський район;41423
  Попільнянський район;31073
  Радомишльський район;37093
  Романівський  район;27966
  Ружинський район;26675
  Пулинський район;22784
  Черняхівський район;28109
  Чуднівський район;34351
Закарпатська область;1258155
 Міське населення;465499
 Сільське населення;792656
  м. Ужгород;113996
  Берегове (міськрада);24143
  м. Мукачево;85892
  Хуст (міськрада);31659
  м. Чоп;8949
  Берегівський район;50806
  Великоберезнянський район;26414
  Виноградівський район;121187
  Воловецький район;24175
  Іршавський район;100493
  Міжгірський район;47715
  Мукачівський район;100460
  Перечинський район;31936
  Рахівський район;92814
  Свалявський район;54628
  Тячівський район;175478
  Ужгородський район;71635
  Хустський район;95775
Запорізька область;1723171
 Міське населення;1331490
 Сільське населення;391681
  м. Запоріжжя;745432
  Бердянськ (міськрада);114787
  м. Енергодар;53842
  м. Мелітополь;153992
  м. Токмак;31417
  Бердянський район;24939
  Василівський район;62726
  Великобілозерський район;7879
  Веселівський район;21303
  Вільнянський район;46750
  Гуляйпільський район;26328
  Запорізький район;56925
  Кам'янсько-Дніпровський район;39577
  Більмацький район;21758
  Мелітопольський район;49008
  Михайлівський район;28542
  Новомиколаївський район;15644
  Оріхівський район;45214
  Пологівський район;39664
  Приазовський район;26973
  Приморський район;29635
  Розівський район;8653
  Токмацький район;22076
  Чернігівський (Запорізька) район;16822
  Якимівський район;33285
Івано-Франківська область;1377496
 Міське населення;606155
 Сільське населення;771341
  Івано-Франківськ (міськрада);257477
  Болехів (міськрада);21427
 Бурштин (міськрада);15474
  м. Калуш;66404
  м. Коломия;60993
  Яремче (міськрада);23170
  Богородчанський район;69731
  Верховинський район;30642
  Галицький район;43186
  Городенківський район;52701
  Долинський (Івано-Франківська) район;69162
  Калуський район;58880
  Коломийський район;98260
  Косівський район;87806
  Надвірнянський район;115171
  Рогатинський район;40127
  Рожнятівський район;72381
  Снятинський район;64597
  Тисменицький район;82782
  Тлумацький район;47125
Київська область;1754284
 Міське населення;1089233
 Сільське населення;665051
  м. Біла Церква;209176
  м. Березань;16585
  м. Бориспіль;61807
  м. Бровари;103787
  м. Буча;33868
  м. Васильків;37819
  Ірпінь (міськрада);90998
 Обухів (міськрада);33568
  м. Переяслав-Хмельницький;27322
  м. Прип'ять;0
  м. Ржищів;7445
