Point;2018
УКРАЇНА;42386403
 Міське населення;29370995
 Сільське населення;13015408
Вінницька область;1575808
 Міське населення;806331
 Сільське населення;769477
  Барський район;51444
  Бершадський район;58449
  Вінницький район;452411
  Гайсинський район;56206
  Жмеринський район;68318
  Іллінецький район;36874
  Калинівський район;57409
  Козятинський район;63563
  Крижопільський район;32976
  Липовецький район;37272
  Літинський район;34905
  Могилів-Подільський район;63813
  Мурованокуриловецький район;24919
  Немирівський район;48347
  Оратівський район;20793
  Піщанський район;20678
  Погребищенський район;29397
  Теплицький район;27818
  Тиврівський район;41819
  Томашпільський район;32933
  Тростянецький (Вінницька) район;59104
  Тульчинський район;54727
  Хмільницький район;63805
  Чернівецький район;20999
  Чечельницький район;20840
  Шаргородський район;56661
  Ямпільський район;39328
Волинська область;1038457
 Міське населення;542680
 Сільське населення;495777
  Володимир-Волинський район;64076
  Горохівський район;51320
  Іваничівський район;88683
  Камінь-Каширський район;64248
  Ківерцівський район;63927
  Ковельський район;109426
  Локачинський район;22078
  Луцький район;281251
  Любешівський район;35824
  Любомльський район;39107
  Маневицький район;54261
  Ратнівський район;52193
  Рожищенський район;39095
  Старовижівський район;30165
  Турійський район;26039
  Шацький район;16764
Дніпропетровська область;3231140
 Міське населення;2706984
 Сільське населення;524156
  Апостолівський район;54324
  Васильківський (Дніпропетровська) район;31920
  Верхньодніпровський район;76093
  Дніпровський район;84033
  Криворізький район;677511
  Криничанський район;34976
  Магдалинівський район;33622
  Межівський район;23255
  Нікопольський район;152157
  Новомосковський район;143973
  Павлоградський район;161751
  Петриківський район;267100
  Петропавлівський район;54284
  Покровський (Дніпропетровська) район;75415
  П'ятихатський район;90093
  Синельниківський район;68364
  Солонянський район;38344
  Софіївський район;21539
  Томаківський район;72797
  Царичанський район;26763
  Широківський район;26880
  Юр'ївський район;13002
Донецька область;4200461
 Міське населення;3813272
 Сільське населення;387189
  Амвросіївський район;44112
  Бахмутський район ;469968
  Великоновосілківський район;38338
  Волноваський район;122174
  Добропільський район;76040
  Лиманський (Донецька) район;42871
  Костянтинівський район;158984
  Покровський (Донецька) район;220782
  Мар'їнський район;95837
  Новоазовський район;493160
  Олександрівський (Донецька) район;18283
  Слов'янський район;418606
  Старобешівський район;49648
  Бойківський район ;14066
  Шахтарський район;1682365
  Мангушський район;26177
  Нікольський район;28188
  Ясинуватський район;200862
Житомирська область;1231239
 Міське населення;726682
 Сільське населення;504557
  Андрушівський район;32930
  Баранівський район;39572
  Бердичівський район;104445
  Брусилівський район;14943
  Хорошівський район;34553
  Ємільчинський район;32629
  Житомирський район;338468
  Коростенський район;89708
  Коростишівський район;40233
  Лугинський район;16321
  Любарський район;26687
  Малинський район;44766
  Народицький район;9501
  Новоград-Волинський район;101401
  Овруцький район;55608
  Олевський район;41423
  Попільнянський район;31073
  Радомишльський район;37093
  Романівський  район;27966
  Ружинський район;26675
  Пулинський район;22784
  Черняхівський район;28109
  Чуднівський район;34351
Закарпатська область;1258155
 Міське населення;465499
 Сільське населення;792656
  Берегівський район;74949
  Великоберезнянський район;26414
  Виноградівський район;121187
  Воловецький район;24175
  Іршавський район;100493
  Міжгірський район;47715
  Мукачівський район;186352
  Перечинський район;31936
  Рахівський район;92814
  Свалявський район;54628
  Тячівський район;175478
  Ужгородський район;194580
  Хустський район;127434
Запорізька область;1723171
 Міське населення;1331490
 Сільське населення;391681
  Бердянський район;139726
  Василівський район;62726
  Великобілозерський район;7879
  Веселівський район;21303
  Вільнянський район;46750
  Гуляйпільський район;26328
  Запорізький район;802357
  Кам'янсько-Дніпровський район;93419
  Більмацький район;21758
  Мелітопольський район;203000
  Михайлівський район;28542
  Новомиколаївський район;15644
  Оріхівський район;45214
  Пологівський район;39664
  Приазовський район;26973
  Приморський район;29635
  Розівський район;8653
  Токмацький район;53493
  Чернігівський (Запорізька) район;16822
  Якимівський район;33285
Івано-Франківська область;1377496
 Міське населення;606155
 Сільське населення;771341
  Богородчанський район;69731
  Верховинський район;30642
  Галицький район;58660
  Городенківський район;52701
  Долинський (Івано-Франківська) район;90589
  Калуський район;125284
  Коломийський район;159253
  Косівський район;87806
  Надвірнянський район;138341
  Рогатинський район;40127
  Рожнятівський район;72381
  Снятинський район;64597
  Тисменицький район;340259
  Тлумацький район;47125
Київська область;1754284
 Міське населення;1089233
 Сільське населення;665051
  Баришівський район;51665
  Білоцерківський район;258580
  Богуславський район;34322
  Бориспільський район;114928
  Бородянський район;57527
  Броварський район;172327
  Васильківський (Київська) район;95664
  Вишгородський район;74318
  Володарський район;17230
  Згурівський район;16166
  Іванківський район;29765
  Кагарлицький район;40675
  Києво-Святошинський район;312322
  Макарівський район;36035
  Миронівський район;33939
  Обухівський район;68811
  Переяслав-Хмельницький район;55080
  Поліський район;5624
  Рокитнянський район;26564
  Сквирський район;36896
  Ставищенський район;21801
  Таращанський район;27643
  Тетіївський район;31718
  Фастівський район;77112
  Яготинський район;32589
Кіровоградська область;956250
 Міське населення;603049
 Сільське населення;353201
  Бобринецький район;25448
  Вільшанський район;12417
  Гайворонський район;37254
  Голованівський район;30400
  Добровеличківський район;33434
  Долинський (Кіровоградська) район;33546
  Знам'янський район;50430
  Кіровоградський район;274008
  Компаніївський район;15131
  Маловисківський район;42377
  Новгородківський район;15403
  Новоархангельський район;24167
  Новомиргородський район;28203
  Новоукраїнський район;41092
  Олександрівський (Кіровоградська) район;26802
  Олександрійський район;124530
  Онуфріївський район;17767
  Петрівський район;23671
  Світловодський район;64800
  Благовіщенський район;22436
  Устинівський район;12934
Луганська область;2167802
 Міське населення;1884722
 Сільське населення;283080
  Антрацитівський район;308152
  Біловодський район;23359
  Білокуракинський район;18883
  Сорокинський район ;130685
  Кремінський район;211525
  Лутугинський район;65721
  Марківський район;14675
  Міловський район;15112
  Новоайдарський район;40793
  Новопсковський район;33873
  Перевальський район;223282
  Попаснянський район;258451
  Сватівський район;34398
  Довжанський район ;107706
  Слов'яносербський район;137384
  Станично-Луганський район;480549
  Старобільський район;43691
  Троїцький район;19563
Львівська область;2529608
 Міське населення;1542118
 Сільське населення;987490
  Бродівський район;58522
  Буський район;46435
  Городоцький (Львівська) район;68910
  Дрогобицький район;236521
  Жидачівський район;67034
  Жовківський район;110371
  Золочівський (Львівська) район;69188
  Кам'янка-Бузький район;57378
  Миколаївський (Львівська) район;91862
  Мостиський район;56881
  Перемишлянський район;38517
  Пустомитівський район;155837
  Радехівський район;47450
  Самбірський район;102740
  Сколівський район;47473
  Сокальський район;172996
  Старосамбірський район;77502
  Стрийський район;126807
  Турківський район;49604
  Яворівський район;126279
Миколаївська область;1141324
 Міське населення;779706
 Сільське населення;361618
  Арбузинський район;59664
  Баштанський район;37312
  Березанський район;23016
  Березнегуватський район;20065
  Братський район;17645
  Веселинівський район;22711
  Вознесенський район;65049
  Врадіївський район;17262
  Доманівський район;25090
  Єланецький район;15277
  Вітовський район;50191
  Казанківський район;19363
  Кривоозерський район;24361
  Миколаївський район;516260
  Новобузький район;30594
  Новоодеський район;33132
  Очаківський(1) район;28430
  Очаківський(2) район;998
  Первомайський (Миколаївська) район;95157
  Снігурівський район;39747
Одеська область;2383075
 Міське населення;1594905
 Сільське населення;788170
  Ананьївський район;26305
  Арцизький район;44826
  Балтський район;40656
  Березівський район;33403
  Білгород-Дністровський район;116495
  Біляївський район;105058
  Болградський район;67976
  Великомихайлівський район;30632
  Іванівський (Одеська) район;26278
  Ізмаїльський район;122919
  Кілійський район;51541
  Кодимський район;28909
  Лиманський (Одеська) район;103170
  Подільський район;66895
  Окнянський район;19969
  Любашівський район;30048
  Миколаївський (Одеська) район;15897
  Овідіопольський район;155749
  Ренійський район;36903
  Роздільнянський район;57894
  Савранський район;18694
  Саратський район;44808
  Тарутинський район;40976
  Татарбунарський район;38685
  Захарівський район;20082
  Ширяївський район;26813
Полтавська область;1413829
 Міське населення;878939
 Сільське населення;534890
  Великобагачанський район;24342
  Гадяцький район;52364
  Глобинський район;42734
  Гребінківський район;22182
  Диканський район;18696
  Зіньківський район;33815
  Карлівський район;33441
  Кобеляцький район;41374
  Козельщинський район;19000
  Котелевський район;19417
  Кременчуцький район;314839
  Лохвицький район;41922
  Лубенський район;76778
  Машівський район;19160
  Миргородський район;70738
  Новосанжарський район;33752
  Оржицький район;23504
  Пирятинський район;30982
  Полтавський район;356883
  Решетилівський район;26043
  Семенівський район;24615
  Хорольський район;33715
  Чорнухинський район;11055
  Чутівський район;22467
  Шишацький район;20011
Рівненська область;1160647
 Міське населення;550925
 Сільське населення;609722
  Березнівський район;64055
  Володимирецький район;107673
  Гощанський район;35060
  Демидівський район;14462
  Дубенський район;83215
  Дубровицький район;47503
  Зарічненський район;35115
  Здолбунівський район;56737
  Корецький район;33398
  Костопільський район;64127
  Млинівський район;37395
  Острозький район;44050
  Радивилівський район;37036
  Рівненський район;338885
  Рокитнівський район;57583
  Сарненський район;104353
Сумська область;1094284
 Міське населення;754187
 Сільське населення;340097
  Білопільський район;49697
  Буринський район;24193
  Великописарівський район;18450
  Глухівський район;55757
  Конотопський район;119181
  Краснопільський район;28040
  Кролевецький район;37579
  Лебединський район;45143
  Липоводолинський район;18357
  Недригайлівський район;23874
  Охтирський район;74422
  Путивльський район;27056
